PlotNo;Biomass
1;7.8
2;11.2
3;10
4;6.8
5;13
6;11.4
7;7.4
8;10.4
9;11.6
10;10.8
11;11
12;12
13;12
14;11.4
15;12
16;7
17;7.8
18;11.4
19;4.6
20;13.2
21;nan
22;9.6
23;11
24;nan
25;9.6
26;3.2
27;nan
28;nan
29;nan
30;4.4
31;nan
32;6.6
