Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 17;
SimDay;0.1
1;
14;0.198928571
15;0.19684375
16;0.200875
17;0.196479167
18;0.190479167
19;0.190916667
20;0.22003125
21;0.2140625
22;0.206385417
23;0.198114583
24;0.193520833
25;0.268229167
26;0.488291667
27;0.419572917
28;0.4006875
29;0.3851875
30;0.372510417
31;0.35671875
32;0.3444375
33;0.3386875
34;0.33625
35;0.3399375
36;0.340125
37;0.3348125
38;0.330125
39;0.3315625
40;0.3433125
41;0.338625
42;0.323051948
