Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 23;
SimDay;0.1
1;
14;0.149392857
15;0.148694737
16;0.14934375
17;0.151583333
18;0.14884375
19;0.150125
20;0.165145833
21;0.1606875
22;0.157791667
23;0.157791667
24;0.157125
25;0.23428125
26;0.422541667
27;0.384375
28;0.372125
29;0.3688125
30;0.370229167
31;0.368583333
32;0.3653125
33;0.368333333
34;0.3685
35;0.367854167
36;0.367052083
37;0.366125
38;0.368
39;0.3790625
40;0.3938125
41;0.393
42;0.383615385
46;0.478333333
47;0.4545
48;0.43175
49;0.419114583
50;0.4074375
51;0.3951875
52;0.386
53;0.37384375
54;0.35696875
55;0.349295082
56;0.34125
57;0.333
58;0.324375
59;0.397677083
60;0.39803125
61;0.348989583
62;0.317802083
63;0.301802083
64;0.28990625
65;0.281791667
66;0.273260417
67;0.266358696
68;0.260655172
69;0.254666667
70;0.251791667
71;0.242958333
72;0.234416667
73;0.223270833
74;0.348989583
75;0.35165625
76;0.354135417
77;0.3838125
78;0.3241875
79;0.294791667
80;0.274291667
81;0.261205882
