Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 2;
SimDay;0.1
1;
15;0.25363033
16;0.247326192
17;0.264483059
18;0.246060789
19;0.242300651
20;0.409742341
21;0.420871161
22;0.374590798
23;0.342354459
24;0.317914759
25;0.298201017
26;0.27706564
27;0.265546706
28;0.262201209
29;0.250147851
30;0.252716211
31;0.233837459
32;0.228466997
33;0.266319221
34;0.036579231
35;0.037834095
36;0.139315996
37;0.134828428
38;0.123140321
39;0.119610269
40;0.115109847
41;0.112551372
42;0.111223482
43;0.108861305
44;0.370493284
45;0.310801184
46;0.253858891
47;0.214578754
48;0.187299099
49;0.172005164
50;0.163196342
51;0.156014865
52;0.150118226
53;0.147271482
54;0.144290285
55;0.14488884
56;0.141617422
57;0.136609353
58;0.130163152
59;0.175392223
60;0.225891548
61;0.184148731
62;0.163707278
