Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 10;
SimDay;0.1
1;
14;0.025785714
15;0.024291667
16;0.025302083
17;0.026427083
18;0.023947917
19;0.023135417
20;0.026520833
21;0.0245
22;0.024020833
23;0.023447917
24;0.023229167
25;0.164430233
26;0.2300625
27;0.1804375
28;0.16278125
29;0.154291667
30;0.1460625
31;0.138875
32;0.136947917
33;0.139520833
34;0.142770833
35;0.140875
36;0.133927083
37;0.126166667
38;0.119364583
39;0.11875
40;0.12159375
41;0.115520833
42;0.105557895
43;0.095614583
44;0.084739583
45;0.1102
46;0.441385417
47;0.367541667
48;0.32296875
49;0.295197917
50;0.280041667
51;0.267375
52;0.262052083
53;0.25340625
54;0.242354167
55;0.235114583
56;0.226229167
57;0.215458333
58;0.210395833
59;0.299552083
60;0.44
61;0.359645833
62;0.30834375
63;0.279260417
64;0.263979167
65;0.237739583
66;0.217947917
67;0.210239583
68;0.204375
69;0.199260417
70;0.198895833
71;0.194479167
72;0.188510417
73;0.183416667
74;0.300229167
75;0.518833333
76;0.516614583
77;0.500635417
78;0.473239583
79;0.450125
80;0.422916667
81;0.397323529
