Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 21;
SimDay;0.1
1;
14;0.062464286
15;0.057708333
16;0.05771875
17;0.063375
18;0.061239583
19;0.060135417
20;0.066270833
21;0.066041667
22;0.065635417
23;0.063979167
24;0.062208333
25;0.060416667
26;0.093760417
27;0.092177083
28;0.081145833
29;0.074104167
30;0.071197917
31;0.067520833
32;0.060333333
33;0.05634375
34;0.054114583
35;0.053145833
36;0.050541667
37;0.046979167
38;0.0420625
39;0.039895833
40;0.041385417
41;0.041208333
42;0.038948052
44;0.033553571
45;0.239854167
46;0.267364583
47;0.228010417
48;0.18809375
49;0.153822917
50;0.13828125
51;0.118677083
52;0.101166667
53;0.08428125
54;0.072208333
55;0.067416667
56;0.06453125
57;0.062489583
58;0.060604167
59;0.257552083
60;0.36603125
61;0.307989583
62;0.268864583
63;0.228864583
64;0.130041667
65;0.075885417
66;0.06428125
67;0.0583125
68;0.054385417
69;0.050895833
70;0.049760417
71;0.049614583
72;0.047927083
73;0.04653125
74;0.2339375
75;0.2921875
76;0.301135417
77;0.3903125
78;0.330697917
79;0.289166667
80;0.253770833
81;0.221632353
