Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 20;
SimDay;0.1
1;
14;0.126714286
15;0.121989583
16;0.1368125
17;0.146458333
18;0.12884375
19;0.132510417
20;0.167677083
21;0.157260417
22;0.149614583
23;0.145052083
24;0.14171875
25;0.141552083
26;0.24853125
27;0.296458333
28;0.27040625
29;0.257760417
30;0.24884375
31;0.238041667
32;0.22878125
33;0.223260417
34;0.219197917
35;0.213989583
36;0.206989583
37;0.200322917
38;0.19821875
39;0.203083333
40;0.215416667
41;0.215833333
42;0.211311688
44;0.194517857
45;0.365291667
46;0.408375
47;0.369625
48;0.349802083
49;0.3345625
50;0.318885417
51;0.308260417
52;0.302166667
53;0.292197917
54;0.278072917
55;0.26734375
56;0.258041667
57;0.253802083
58;0.244760417
59;0.3276875
60;0.331697917
61;0.278020833
62;0.246166667
63;0.223354167
64;0.205479167
65;0.193145833
66;0.182020833
67;0.170708333
68;0.16146875
69;0.1545
70;0.151260417
71;0.146916667
72;0.139364583
73;0.133270833
74;0.303697917
75;0.34940625
76;0.351572917
77;0.421895833
78;0.382239583
79;0.349239583
80;0.31146875
81;0.283397059
