Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 18;
SimDay;0.1
1;
14;0.009035714
15;0.14621875
16;0.270635417
17;0.274229167
18;0.274145833
19;0.272395833
20;0.282395833
21;0.283885417
22;0.2843125
23;0.282260417
24;0.281322917
25;0.3273125
26;0.44771875
27;0.399177083
28;0.380520833
29;0.36975
30;0.365083333
31;0.360135417
32;0.355260417
33;0.35296875
34;0.3511875
35;0.3515
36;0.330322917
37;0.308552083
38;0.306364583
39;0.306979167
40;0.312458333
41;0.311114583
42;0.305233766
44;0.287785714
45;0.4003125
46;0.463302083
47;0.420666667
48;0.400572917
49;0.3834375
50;0.372385417
51;0.366395833
52;0.362270833
53;0.3566875
54;0.344875
55;0.3321875
56;0.3221875
57;0.315354167
58;0.305333333
59;0.296166667
60;0.407822917
61;0.448489583
62;0.4094375
63;0.388322917
64;0.379541667
65;0.34009375
66;0.314447917
67;0.304270833
68;0.293354167
69;0.282010417
70;0.273052083
71;0.26590625
72;0.25571875
73;0.24609375
74;0.372375
75;0.367708333
76;0.456572917
77;0.448625
78;0.3945625
79;0.369416667
80;0.34453125
81;0.326073529
