Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 13;
SimDay;0.1
1;
14;0.032607143
15;0.03084375
16;0.038125
17;0.042364583
18;0.032395833
19;0.035489583
20;0.0513125
21;0.040979167
22;0.035104167
23;0.0315625
24;0.030427083
25;0.23340625
26;0.45446875
27;0.424552083
28;0.38034375
29;0.344364583
30;0.318458333
31;0.300333333
32;0.287552083
33;0.28384375
34;0.279322917
35;0.27340625
36;0.26421875
37;0.256270833
38;0.251395833
39;0.25340625
40;0.26128125
41;0.254760417
42;0.197442105
43;0.091739583
44;0.08734375
45;0.125126761
46;0.503728395
47;0.437020833
48;0.366677083
49;0.313625
50;0.286083333
51;0.268635417
52;0.2591875
53;0.249197917
54;0.239052083
55;0.234364583
56;0.229135417
57;0.2228125
58;0.218177083
59;0.3001875
60;0.469916667
61;0.3723125
62;0.302125
63;0.273395833
64;0.259302083
65;0.25140625
66;0.243666667
67;0.237416667
68;0.233395833
69;0.2294375
70;0.228520833
71;0.223177083
72;0.217916667
73;0.212010417
74;0.31953125
75;0.5330625
76;0.506510417
77;0.477229167
78;0.430385417
79;0.4009375
80;0.374635417
81;0.353735294
