Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 19;
SimDay;0.1
1;
14;0.084928571
15;0.072395833
16;0.080302083
17;0.084770833
18;0.073760417
19;0.073833333
20;0.092635417
21;0.07734375
22;0.074114583
23;0.071895833
24;0.0703125
25;0.216822917
26;0.32240625
27;0.2256875
28;0.181447917
29;0.161072917
30;0.151625
31;0.144083333
32;0.1356875
33;0.13521875
34;0.130541667
35;0.126729167
36;0.12159375
37;0.115541667
38;0.108177083
39;0.111375
40;0.117385417
41;0.109177083
42;0.133948718
46;0.371888889
47;0.32728125
48;0.280166667
49;0.254072917
50;0.23434375
51;0.217239583
52;0.202447917
53;0.18534375
54;0.158072917
55;0.146393443
56;0.134708333
57;0.124958333
58;0.115625
59;0.263479167
60;0.376354167
61;0.28696875
62;0.24921875
63;0.232083333
64;0.21590625
65;0.203802083
66;0.188916667
67;0.176945652
68;0.165586207
69;0.159020833
70;0.157520833
71;0.151010417
72;0.143864583
73;0.13540625
74;0.3144375
75;0.431739583
76;0.455
77;0.4470625
78;0.422135417
79;0.3895625
80;0.3614375
81;0.339558824
