Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 12;
SimDay;0.1
1;
14;0.028227929
15;0.026831634
16;0.025977231
17;0.027367297
18;0.024173509
19;0.023793483
20;0.056654338
21;0.057689041
22;0.041389117
23;0.035082322
24;0.032223664
25;0.030739826
26;0.028446226
27;0.027076626
28;0.026717375
29;0.0254115
30;0.028417344
31;0.03002994
32;0.029322098
33;0.083055192
34;0.014529884
35;0.025872156
36;0.053551184
37;0.05082597
38;0.045735772
39;0.043630169
40;0.041290299
41;0.039921369
42;0.038970424
43;0.039660602
44;0.039808381
45;0.367548567
46;0.209579348
47;0.160496136
48;0.074500457
49;0.026978129
50;0.023132914
51;0.020773947
52;0.01779656
53;0.015802633
54;0.014020496
55;0.013983875
56;0.013606104
57;0.012504423
58;0.011048501
59;0.16941243
60;0.424442335
61;0.367650019
62;0.345187695
