Biomass;PlotLabel(notused);HarvestDAS;PlotNo;OBS
;;100;1;7.8
;;100;2;11.2
;;100;3;10
;;100;4;6.8
;;100;5;13
;;100;6;11.4
;;100;7;7.4
;;100;8;10.4
;;100;9;11.6
;;100;10;10.8
;;100;11;11
;;100;12;12
;;100;13;12
;;100;14;11.4
;;100;15;12
;;100;16;7
;;100;17;7.8
;;100;18;11.4
;;100;19;4.6
;;100;20;13.2
;;100;21;nan
;;100;22;9.6
;;100;23;11
;nan;100;24;nan
;;100;25;9.6
;;100;26;3.2
;nan;100;27;nan
;nan;100;28;nan
;nan;100;29;nan
;;100;30;4.4
;nan;100;31;nan
;;100;32;6.6
