Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 29;
SimDay;0.1
1;
14;0.203821429
15;0.198354167
16;0.196947917
17;0.198791667
18;0.196822917
19;0.209604167
20;0.2398125
21;0.2370625
22;0.233052083
23;0.228041667
24;0.22353125
25;0.275958333
26;0.39425
27;0.360010417
28;0.334875
29;0.31384375
30;0.298520833
31;0.283260417
32;0.26521875
33;0.257697917
34;0.246885417
35;0.238989583
36;0.228677083
37;0.216645833
38;0.201989583
39;0.202197917
40;0.210239583
41;0.210854167
42;0.203794872
46;0.416185185
47;0.40475
48;0.385375
49;0.373197917
50;0.36028125
51;0.34075
52;0.32625
53;0.306260417
54;0.284510417
55;0.269016393
56;0.260229167
57;0.2479375
58;0.236291667
59;0.348572917
60;0.36103125
61;0.319375
62;0.288552083
63;0.265645833
64;0.247864583
65;0.238020833
66;0.223
67;0.209326087
68;0.194517241
69;0.1835625
70;0.17546875
71;0.165520833
72;0.156395833
73;0.230135417
74;0.315010417
75;0.270270833
76;0.300354167
77;0.44684375
78;0.402291667
79;0.36465625
80;0.32528125
81;0.295382353
