Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 8;
SimDay;0.1
1;
15;0.13186723
16;0.123343646
17;0.144895539
18;0.128299025
19;0.125465915
20;0.338496755
21;0.356088097
22;0.291156417
23;0.242417727
24;0.213338329
25;0.195543978
26;0.177728341
27;0.167581213
28;0.1666654
29;0.156564632
30;0.158740743
31;0.144040563
32;0.139375526
33;0.181591301
34;0.012689468
35;0.013905938
36;0.125365927
37;0.119373879
38;0.103238297
39;0.092231315
40;0.083390647
41;0.079187279
42;0.07702445
43;0.074169625
44;0.381283311
45;0.418887759
46;0.299408329
47;0.226656884
48;0.189524652
49;0.154162851
50;0.129460844
51;0.117973135
52;0.108914056
53;0.10354653
54;0.099568304
55;0.098843901
56;0.095063653
57;0.090208392
58;0.084153034
59;0.180584914
60;0.434833398
61;0.450169527
62;0.482447863
