Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 9;
SimDay;0.1
1;
14;0.0315
15;0.028510417
16;0.029166667
17;0.030177083
18;0.027489583
19;0.027322917
20;0.03221875
21;0.02896875
22;0.0279375
23;0.027020833
24;0.02628125
25;0.106119403
26;0.3412
27;0.242822917
28;0.176552083
29;0.1444375
30;0.127458333
31;0.115447917
32;0.106385417
33;0.105072917
34;0.104197917
35;0.102666667
36;0.09659375
37;0.0929375
38;0.08884375
39;0.090677083
40;0.096729167
41;0.095395833
42;0.111526316
43;0.148958333
44;0.147625
45;0.326356322
46;0.374802083
47;0.293947917
48;0.25525
49;0.2374375
50;0.233989583
51;0.226416667
52;0.22284375
53;0.215229167
54;0.205166667
55;0.200166667
56;0.195604167
57;0.189104167
58;0.184166667
59;0.177708333
60;0.339958333
61;0.372489583
62;0.303791667
63;0.269604167
64;0.250166667
65;0.237052083
66;0.225
67;0.2116875
68;0.200229167
69;0.188895833
70;0.183625
71;0.177510417
72;0.171197917
73;0.164770833
74;0.302510417
75;0.512354167
76;0.493333333
77;0.467927083
78;0.421854167
79;0.402
80;0.38825
81;0.37275
