Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 24;
SimDay;0.1
1;
14;0.038964286
15;0.036927083
16;0.069147368
17;0.084802083
18;0.07975
19;0.102041667
20;0.127693548
26;0.310392857
27;0.299385417
28;0.280802083
29;0.268177083
30;0.264395833
31;0.256822917
32;0.245333333
33;0.2415
34;0.232239583
35;0.224572917
36;0.212947917
37;0.198791667
38;0.186822917
39;0.186270833
40;0.18953125
41;0.184760417
42;0.172807692
46;0.293666667
47;0.28653125
48;0.281239583
49;0.28028125
50;0.275854167
51;0.2735
52;0.27215625
53;0.265635417
54;0.254697917
55;0.246868852
56;0.239354167
57;0.230927083
58;0.223010417
59;0.293229167
60;0.299229167
61;0.262208333
62;0.239322917
63;0.22403125
64;0.210114583
65;0.202072917
66;0.197416667
67;0.188423913
68;0.183551724
69;0.175833333
70;0.1736875
71;0.16728125
72;0.16103125
73;0.153958333
74;0.27875
75;0.380916667
76;0.4365
77;0.414958333
78;0.388
79;0.368833333
80;0.3450625
81;0.335323529
