0.005;6;0.8;66;66;10;1;40;9;254.4;0.2;1.5;5;0.078;0.258;0.42;0.45;100
0.007;16;0.99;118;89;18;2.75;70;12;5040;0.3;1.8;90;0.188;0.402;0.582;0.5;27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.27
0.0055;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.13
0.0059;10;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.6
0.0059;14;0.93;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.09
0.0059;14;0.99;89;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.49
0.0059;14;0.99;86;87;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.3
0.0059;14;0.99;86;82;17;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.28
0.0059;14;0.99;86;82;14;1.05;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.25
0.0059;14;0.99;86;82;14;1.09;56;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;3865;0.23;1.66;69;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.7;69;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;88;0.118;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.188;0.357;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.309;0.513;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.571;0.5;6.27
0.0059;14;0.99;86;82;14;1.09;49;10;945;0.23;1.66;69;0.118;0.357;0.513;0.45;5.65
0.005;16;0.85;103;78;14;2.65;50;9;348;0.26;1.57;39;0.129;0.341;0.505;0.49;6.74
0.0065;16;0.85;103;78;14;2.65;50;9;348;0.26;1.57;39;0.129;0.341;0.505;0.49;7
0.005;9;0.85;103;78;14;2.65;50;9;348;0.26;1.57;39;0.129;0.341;0.505;0.49;7.26
