Measurement Input CC - 2019 - Plot 999 = All-Plot Mean;
SimDay;CC
37;0.38
45;0.68
48;0.74
53;0.82
59;0.83
67;0.87
71;0.89
81;0.89
87;0.89
94;0.89
100;0.87
108;0.82
116;0.75
